TOTAL_SECONDS,SNIPPETS,through_put_rows,through_put_size
0,1,0,0
0,2,0,0
14,1,0,6
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,2,1,24
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,2,1,24
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,12
0,1,0,0
9,24,74,6650
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
2,1,1,4
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
2,4,11,210
0,1,0,0
0,4,0,0
0,1,0,0
2,6,1,6
7,7,0,2
4,11,2,294
0,1,0,0
1,1,1,16
1,2,1,24
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,8
2,1,1,8
1,1,1,12
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
2,5,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
5,1,202419,26783727
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
4,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
3,2,0,8
43,2,0,1
0,1,0,0
1,1,1,8
0,1,0,0
16,1,0,1
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,0,0
1,1,0,0
0,1,0,0
0,1,0,0
1,4,1,12
0,1,0,0
0,1,0,0
0,2,0,0
0,2,0,0
0,1,0,0
0,1,0,0
1,2,1,44
0,4,0,0
2,6,298,25684
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
1,3,4298,51576
0,1,0,0
0,1,0,0
1,1,1,88
0,1,0,0
1,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,2,1,24
0,1,0,0
0,1,0,0
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,3619,72380
0,1,0,0
12,29,1626,130053
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
3,5,0,0
0,1,0,0
2,1,35360,3241482
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,88
5,11,0,0
0,1,0,0
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
2,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
1,2,1,28
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
1,1,1,20
1,2,1,24
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,0,0
1,1,1,12
0,1,0,0
0,1,0,0
1,2,1,24
0,1,0,0
0,2,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,2,0,0
0,1,0,0
1,1,0,0
0,1,0,0
0,1,0,0
0,3,0,0
0,1,0,0
0,1,0,0
0,2,0,0
1,2,1,24
3,4,156,43847
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,2,0,0
3,4,16415,1247515
2,4,1,6
0,2,0,0
0,1,0,0
2,1,1,4
16,1,97265,20775173
0,1,0,0
0,1,0,0
1,1,1,20
0,1,0,0
0,1,0,0
0,1,0,0
1,5,1,8
0,1,0,0
0,1,0,0
0,1,0,0
1,1,0,0
0,5,0,0
0,1,0,0
0,1,0,0
0,1,0,0
2,1,1,14
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,12
0,1,0,0
0,5,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,12
0,1,0,0
0,1,0,0
0,1,0,0
1,2,1,12
0,2,0,0
0,1,0,0
0,1,0,0
1,1,1,12
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
1,1,1,88
0,1,0,0
0,1,0,0
0,1,0,0
2,1,1668,46690
1,1,1,12
0,1,0,0
0,1,0,0
1,1,1,16
2,2,1,12
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,12
0,1,0,0
0,3,0,0
1,3,1,12
1,2,1,12
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,20
0,1,0,0
0,1,0,0
6,17,189,59246
0,3,0,0
0,1,0,0
0,1,0,0
1,5,1,8
0,1,0,0
0,1,0,0
2,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,2,1,28
0,1,0,0
1,1,1,16
1,2,676,373460
0,1,0,0
1,1,1,36
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
2,1,1,14
0,1,0,0
0,1,0,0
0,1,0,0
1,4,1,12
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,8,32
1,2,1,24
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
2,1,1,8
2,3,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,88
3,8,0,0
0,1,0,0
4,10,2003,105936
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
2,5,0,0
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
2,2,1,12
0,1,0,0
3,6,4246,67931
0,1,0,0
1,2,1,24
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
17,9,11735,486931
0,1,0,0
0,1,0,0
4,1,0,2
0,1,0,0
0,2,0,0
19,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
1,1,3661,73220
0,1,0,0
1,1,951,19020
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,16
0,1,0,0
1,1,1,16
3,4,8718,3552751
0,1,0,0
0,2,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,4,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,3635,72700
0,1,0,0
0,1,0,0
0,1,0,0
1,1,3431,68620
0,1,0,0
0,1,0,0
1,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,12
0,1,0,0
0,1,0,0
5,8,155,18408
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
2,2,1,6
0,1,0,0
1,1,1,8
0,1,0,0
0,1,0,0
1,2,1,24
0,1,0,0
0,1,0,0
1,1,1,88
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,0,0
0,1,0,0
2,2,1,12
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
6,1,4,77
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1854,37080
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
13,6,55,5500
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,4,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,12
0,1,0,0
2,1,1,4
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,8
0,1,0,0
0,1,0,0
2,1,1,10
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,0,0
0,1,0,0
0,4,0,0
1,1,199497,7884872
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,8
10,6,1,550
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
2,2,1,12
1,2,1,24
2,1,1,44
1,1,3602,72040
0,1,0,0
0,1,0,0
1,2,1,24
1,1,797,15940
0,2,0,0
1,1,0,0
0,1,0,0
0,1,0,0
0,3,0,0
0,1,0,0
1,1,1532,30640
0,4,0,0
356,7,57992,12477477
0,1,0,0
0,2,0,0
2,2,1,12
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
3,2,7,117
0,1,0,0
1,1,1,28
0,1,0,0
0,1,0,0
1,1,1,12
0,1,0,0
1,4,1,12
1,4,1,12
2,6,1,6
1,4,1,12
1,1,1,12
1,3,1,12
1,1,1,12
0,1,0,0
1,1,1,12
0,1,0,0
1,1,1,24
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,16
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,28
1,1,1,20
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,12
1,4,1,12
0,1,0,0
0,1,0,0
1,1,1,12
2,4,1,6
0,1,0,0
705,1,9924,6633832
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,8
2,4,980,194358
0,1,0,0
1,2,25,700
0,2,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
